key,value
E40000,非法请求
E40001,组名称或密码不正确
E40002,组已拥有该设备
E40003,组已经存在
E40004,无法对此组进行操作
E40005,目标组不能是管理员
E40006,插槽已被绑定到另一个实例
E40007,冲突的网络地址
E40008,插槽的网络地址尚未配置
E40009,已达最大插槽数限制
E40010,网络尚未配置
E40011,非法的网络地址
E40012,已达插槽最大配置数限制
E40013,无法对附加设备的插槽进行配置
E40014,值不能包含空格
E40015,网络已配置
E40016,非法的网络或者网段太小
E40017,非法的组名
E40101,未授权的组
E40102,不是平台的管理员组
E40103,不是设备的所有者
E40105,只有管理员或者本人可以操作
E40401,组不存在
E40402,设备不存在
E40403,没有这个授权令牌
E40404,没有这个插槽令牌
E40405,没有这个语言的翻译文件
E50000,服务器内部错误
# platform
Details,详情
Login,登录
Logout,登出
Devices,设备列表
System Info,系统信息
Host Name,主机名称
System Version,系统版本
Total Devices,所有设备
Busy Devices,繁忙设备
Usable Devices,可用设备
Offline Devices,离线设备
Distribution,设备分布
Uptime,启动时间
License Expire,授权过期
License Quantity,授权数量
License Type,授权类型
Total View,设备总览
Overview,概览
Device Info,设备信息
Customize,自定义
Create Slot,创建插槽
# field:device
domain,设备域名
dev_id,内部设备标识
comment,备注
service_port,服务端口
default_ip,默认地址
boot_time,开机时间
disk_total,磁盘总量
mem_total,内存总量
cpu_count,处理器数量
batt_charging,正在充电
api_available,接口可用
locked,接口锁定
frida,FRIDA令牌
lock,锁定令牌
controlling,控制中
controlling_cid,控制中组
public_ip,公网地址
ip_lat,定位经度
ip_lng,定位纬度
ip_country,定位国家
ip_region,定位地区
ip_city,定位城市
cert,证书
auth,授权
brand,品牌
device,设备
model,型号
abi,架构
version,版本
sdk,SDK
hardware,硬件
board,基础板
reg_time,注册时间
heartbeat_time,心跳时间
state,状态
# field:group
name,组名
contact,联系方式
password,密码
token,令牌
last_login_from,最后登录地址
reg_time,注册时间
login_time,登录时间
admin,管理员
# field:device status
batt_temperature,电池温度
batt_percent,电量百分比
cpu_percent,处理器百分比
cpu_freq_current,处理器当前频率
cpu_freq_max,处理器最高频率
cpu_freq_min,处理器最低频率
cpu_times_user,处理器用户时间
cpu_times_system,处理器系统时间
cpu_times_idle,处理器闲置时间
disk_used,磁盘已用
disk_free,磁盘空闲
disk_percent,磁盘百分比
disk_io_read_bytes,磁盘读字节数
disk_io_read_count,磁盘读计数
disk_io_write_bytes,磁盘写字节数
disk_io_write_count,磁盘写计数
disk_io_read_time,磁盘读时间
disk_io_write_time,磁盘写时间
disk_io_busy_time,磁盘繁忙时间
net_io_bytes_sent,网络发送字节数
net_io_packets_sent,网络发包计数
net_io_bytes_recv,网络接收字节数
net_io_packets_recv,网络收包计数
mem_available,可用内存
mem_percent,内存百分比
mem_used,内存已用
mem_free,内存空闲
mem_active,活跃内存
mem_inactive,不活跃内存
mem_buffers,缓冲内存
mem_cached,缓存内存
mem_shared,共享内存
mem_slab,SLAB内存
process_count,进程计数
thread_count,线程计数
fd_count,文件计数
crash_count,崩溃计数
udpcon_count,UDP计数
tcpcon_count,TCP计数
wlan_linkspeed,无线网速度
wlan_freq,无线网频率
wlan_rssi,无线网强度
timestamp,时间戳
# platform: 2
No available devices,没有可用的设备
Confirm,确认
Cancle,取消
Error,错误
Warning,警告
Info,信息
Offline,离线
Online,在线
Pending,待接入
