key,value
E40000,非法請求
E40001,組名稱或密碼不正確
E40002,組已擁有該設備
E40003,組已經存在
E40004,無法對此組進行操作
E40005,目標組不能是管理員
E40006,插槽已被綁定到另一個實例
E40007,沖突的網絡地址
E40008,插槽的網絡地址尚未配置
E40009,已達最大插槽數限製
E40010,網絡尚未配置
E40011,非法的網絡地址
E40012,已達插槽最大配置數限製
E40013,無法對附加設備的插槽進行配置
E40014,值不能包含空格
E40015,網絡已配置
E40016,非法的網絡或者網段太小
E40017,非法的組名
E40101,未授權的組
E40102,不是平臺的管理員組
E40103,不是設備的所有者
E40105,只有管理員或者本人可以操作
E40401,組不存在
E40402,設備不存在
E40403,沒有這個授權令牌
E40404,沒有這個插槽令牌
E40405,沒有這個語言的翻譯文件
E50000,服務器內部錯誤
# platform
Details,詳情
Login,登錄
Logout,登出
Devices,設備列表
System Info,系統信息
Host Name,主機名稱
System Version,系統版本
Total Devices,所有設備
Busy Devices,繁忙設備
Usable Devices,可用設備
Offline Devices,離線設備
Distribution,設備分布
Uptime,啟動時間
License Expire,授權過期
License Quantity,授權數量
License Type,授權類型
Total View,設備總覽
Overview,概覽
Device Info,設備信息
Customize,自定義
Create Slot,創建插槽
# field:device
domain,設備域名
dev_id,內部設備標識
comment,備註
service_port,服務端口
default_ip,默認地址
boot_time,開機時間
disk_total,磁盤總量
mem_total,內存總量
cpu_count,處理器數量
batt_charging,正在充電
api_available,接口可用
locked,接口鎖定
frida,FRIDA令牌
lock,鎖定令牌
controlling,控製中
controlling_cid,控製中組
public_ip,公網地址
ip_lat,定位經度
ip_lng,定位緯度
ip_country,定位國家
ip_region,定位地區
ip_city,定位城市
cert,證書
auth,授權
brand,品牌
device,設備
model,型號
abi,架構
version,版本
sdk,SDK
hardware,硬件
board,基礎板
reg_time,註冊時間
heartbeat_time,心跳時間
state,狀態
# field:group
name,組名
contact,聯系方式
password,密碼
token,令牌
last_login_from,最後登錄地址
reg_time,註冊時間
login_time,登錄時間
admin,管理員
# field:device status
batt_temperature,電池溫度
batt_percent,電量百分比
cpu_percent,處理器百分比
cpu_freq_current,處理器當前頻率
cpu_freq_max,處理器最高頻率
cpu_freq_min,處理器最低頻率
cpu_times_user,處理器用戶時間
cpu_times_system,處理器系統時間
cpu_times_idle,處理器閑置時間
disk_used,磁盤已用
disk_free,磁盤空閑
disk_percent,磁盤百分比
disk_io_read_bytes,磁盤讀字節數
disk_io_read_count,磁盤讀計數
disk_io_write_bytes,磁盤寫字節數
disk_io_write_count,磁盤寫計數
disk_io_read_time,磁盤讀時間
disk_io_write_time,磁盤寫時間
disk_io_busy_time,磁盤繁忙時間
net_io_bytes_sent,網絡發送字節數
net_io_packets_sent,網絡發包計數
net_io_bytes_recv,網絡接收字節數
net_io_packets_recv,網絡收包計數
mem_available,可用內存
mem_percent,內存百分比
mem_used,內存已用
mem_free,內存空閑
mem_active,活躍內存
mem_inactive,不活躍內存
mem_buffers,緩沖內存
mem_cached,緩存內存
mem_shared,共享內存
mem_slab,SLAB內存
process_count,進程計數
thread_count,線程計數
fd_count,文件計數
crash_count,崩潰計數
udpcon_count,UDP計數
tcpcon_count,TCP計數
wlan_linkspeed,無線網速度
wlan_freq,無線網頻率
wlan_rssi,無線網強度
timestamp,時間戳
# platform: 2
No available devices,沒有可用的設備
Confirm,確認
Cancle,取消
Error,錯誤
Warning,警告
Info,信息
Offline,離線
Online,在線
Pending,待接入
